"","Player","Team","Season","Position","Minutes","Goals Added"
"","Matías Laba","VAN","2015","DM","2715","2.28"
"","Liam Ridgewell","POR","2017","CB","1369","2.28"
"","Tommy McNamara","NYC","2015","W","1430","2.28"
"","Álvaro Saborio","RSL","2014","ST","1254","2.28"
"","Ronald Matarrita","NYC","2016","FB","2145","2.27"
"","Chad Marshall","SEA","2014","CB","3011","2.27"
"","Rudy Camacho","MTL","2019","CB","1601","2.27"
"","Scott Caldwell","NER","2017","CM","2367","2.27"
"","Tomás Martínez","HOU","2019","AM","2508","2.26"
"","Luis Caicedo","NER","2018","CM","2826","2.26"
"","Samuel Armenteros","POR","2018","ST","1740","2.26"
"","Nick Hagglund","TOR","2018","CB","1570","2.26"
"","Corey Baird","RSL","2018","ST","2076","2.26"
"","Blas Pérez","FCD","2015","ST","1401","2.26"
"","Florian Valot","NYRB","2018","W","1239","2.26"
"","Diego Fagundez","NER","2015","W","1896","2.26"
"","Judson","SJE","2019","DM","2076","2.26"
"","Kim Kee-hee","SEA","2018","CB","2655","2.26"
"","Harold Cummings","SJE","2018","CB","2032","2.26"
"","Bobby Burling","CHV","2014","CB","1953","2.26"
"","Kyle Beckerman","RSL","2016","DM","2552","2.25"
"","Omar Cummings","HOU","2014","ST","1391","2.25"
"","Andrew Driver","HOU","2013","CM","1846","2.25"
"","Bakary Soumaré","CHI","2014","CB","2461","2.25"
"","Heath Pearce","MTL","2014","CB","1970","2.25"
"","Chris Rolfe","CHI, DCU","2014","W","1872","2.25"
"","Quincy Amarikwa","SJE","2016","ST","1802","2.25"
"","Lucas Pittinari","COL","2015","DM","2432","2.25"
"","Nick DeLeon","DCU","2016","CM","2705","2.25"
"","Alexander Ring","NYC","2017","CM","2807","2.24"
"","Kofi Sarkodie","HOU","2013","FB","3178","2.24"
"","Nicolás Lodeiro","SEA","2016","AM","1262","2.24"
"","Kim Kee-hee","SEA","2019","CB","2889","2.24"
"","Chris Pontius","DCU","2015","W","1661","2.24"
"","Lamar Neagle","SEA","2015","W","2161","2.24"
"","Michael Boxall","MIN","2019","CB","2820","2.24"
"","Adama Diomande","LAFC","2018","ST","1365","2.24"
"","Tyrone Mears","SEA","2016","FB","3044","2.23"
"","Chris Tierney","NER","2013","FB","2558","2.23"
"","Ken Tribbett","PHI","2016","CB","1881","2.23"
"","Nat Borchers","RSL","2013","CB","2741","2.23"
"","Andrés Romero","MTL","2015","W","1987","2.23"
"","Greg Garza","ATL","2017","FB","2323","2.23"
"","Stefan Ishizaki","LAG","2015","W","1731","2.23"
"","Atiba Harris","COL","2013","W","2180","2.22"
"","Octavio Rivero","VAN","2016","ST","810","2.22"
"","Sal Zizzo","NYRB","2017","FB","1792","2.22"
"","Jairo Arrieta","CLB","2014","ST","1352","2.22"
"","Jean-Baptiste Pierazzi","SJE","2014","CM","2108","2.22"
"","Taylor Kemp","DCU","2017","FB","2133","2.22"
"","Jonathan Osorio","TOR","2019","DM","1925","2.22"
"","Sanna Nyassi","MTL","2013","W","1277","2.21"
"","Marco Ureña","LAFC","2018","ST","1121","2.21"
"","Daniel Lovitz","MTL","2017","FB","1919","2.21"
"","DaMarcus Beasley","HOU","2016","FB","2117","2.21"
"","Marco Donadel","MTL","2015","DM","2135","2.21"
"","Nuno Coelho","SKC","2016","CB","1768","2.20"
"","Brooks Lennon","RSL","2019","FB","1735","2.20"
"","Andrew Wenger","HOU","2016","W","2226","2.20"
"","RJ Allen","NYC","2016","FB","1885","2.20"
"","Matt Hedges","FCD","2013","CB","3033","2.19"
"","Marco Ureña","SJE","2017","ST","1859","2.19"
"","Jermaine Jones","LAG","2017","DM","1721","2.19"
"","Nat Borchers","RSL","2014","CB","3096","2.18"
"","Tony Beltran","RSL","2017","FB","1960","2.18"
"","Cristian Colmán","FCD","2017","ST","1071","2.18"
"","Sebastian Lletget","LAG","2015","W","1533","2.18"
"","Julio Cascante","POR","2018","CB","1921","2.18"
"","Collen Warner","TOR","2015","DM","1907","2.18"
"","Bradley Wright-Phillips","NYRB","2019","ST","1276","2.18"
"","Zach Loyd","FCD","2015","CB","2577","2.17"
"","Aaron Long","NYRB","2018","CB","3083","2.17"
"","Matt Hedges","FCD","2017","CB","2624","2.17"
"","Diego Fagundez","NER","2019","W","1291","2.17"
"","Jordan Harvey","VAN","2016","FB","2721","2.17"
"","Chris Wingert","NYC","2015","FB","2340","2.17"
"","Brandon Barklage","NYRB","2013","FB","1878","2.16"
"","Seb Hines","ORL","2015","CB","2082","2.16"
"","Jámison Olave","NYRB","2013","CB","2562","2.16"
"","Álvaro Saborio","RSL, DCU","2015","ST","1996","2.16"
"","Will Bruin","SEA","2018","ST","1973","2.16"
"","Antonio Mlinar Delamea","NER","2017","CB","2734","2.16"
"","Víctor Bernárdez","SJE","2014","CB","2415","2.16"
"","Kofi Opare","DCU","2017","CB","2395","2.16"
"","Román Torres","SEA","2017","CB","1912","2.15"
"","Steven Birnbaum","DCU","2015","CB","1962","2.15"
"","Chris Pontius","DCU","2013","W","1877","2.15"
"","Joe Corona","LAG","2019","CM","2544","2.15"
"","Steven Beitashour","LAFC","2018","FB","2880","2.15"
"","Adam Jahn","SJE","2013","ST","1196","2.14"
"","Sam Vines","COL","2019","FB","2378","2.14"
"","José Villarreal","LAG","2013","ST","1199","2.14"
"","Dillon Powers","ORL, COL","2017","CM","1413","2.14"
"","Dominique Badji","FCD","2019","W","2204","2.14"
"","Enzo Martínez","COL","2018","CM","1560","2.14"
"","Jimmy Medranda","SKC","2016","FB","2110","2.14"
"","Juan Luis Anangonó","CHI","2013","ST","906","2.14"
"","Tim Parker","NYRB","2019","CB","2649","2.14"
"","Russell Teibert","VAN","2013","W","1927","2.13"
"","Matthew Watson","VAN","2013","CM","1384","2.13"
"","Austin Berry","CHI","2013","CB","3300","2.13"
"","Mauro Díaz","FCD","2017","AM","1202","2.13"
"","Tyrone Mears","SEA","2015","FB","3180","2.13"
"","Ricardo Clark","HOU","2014","CM","2244","2.13"
"","Vicente Sánchez","COL","2014","W","1083","2.12"
"","Harry Shipp","CHI","2014","W","2529","2.12"
"","Maxime Chanot","NYC","2019","CB","3111","2.12"
"","Ilsinho","PHI","2016","W","1401","2.12"
"","Emanuel Pogatetz","CLB","2015","CB","1589","2.12"
"","Gianluca Busio","SKC","2019","CM","1053","2.12"
"","Jairo Arrieta","CLB","2013","ST","2003","2.12"
"","Jack McBean","COL","2018","ST","1165","2.12"
"","Laurent Ciman","MTL","2016","CB","2686","2.12"
"","Boniek García","HOU","2015","W","1558","2.12"
"","Matthew Watson","CHI","2014","CM","2207","2.11"
"","Joseph Mora","DCU","2018","FB","2752","2.11"
"","Tim Cahill","NYRB","2014","CM","1640","2.11"
"","Baggio Husidic","LAG","2015","W","2064","2.11"
"","Luis Solignac","CHI","2017","W","2318","2.10"
"","Bryan Acosta","FCD","2019","DM","2313","2.10"
"","Atiba Harris","FCD","2016","FB","2152","2.10"
"","Milton Valenzuela","CLB","2018","FB","2763","2.09"
"","Sheanon Williams","PHI, HOU","2015","FB","2617","2.09"
"","Quincy Amarikwa","CHI","2013","W","377","2.08"
"","Andrés Escobar","FCD","2014","W","1720","2.08"
"","Gustav Svensson","SEA","2019","DM","1981","2.07"
"","Roy Miller","POR","2017","CB","2473","2.07"
"","Micheal Azira","MTL, CHI","2019","CM","1842","2.07"
"","Robbie Findley","TOR","2015","W","1571","2.07"
"","Alexander Callens","NYC","2019","CB","2398","2.07"
"","Gershon Koffie","NER","2016","DM","1665","2.06"
"","Marco Fabián","PHI","2019","AM","1383","2.06"
"","Sean Davis","NYRB","2017","DM","1947","2.06"
"","Justen Glad","RSL","2019","CB","2252","2.06"
"","Dillon Powers","COL","2014","CM","2487","2.06"
"","Scott Caldwell","NER","2013","DM","2369","2.06"
"","Ryan Hollingshead","FCD","2015","FB","2327","2.05"
"","Richard Eckersley","TOR","2013","FB","1545","2.05"
"","A.J. Soares","NER","2014","CB","3029","2.05"
"","Ike Opara","SKC","2018","CB","3052","2.05"
"","Russell Teibert","VAN","2019","CM","2380","2.05"
"","Tesho Akindele","FCD","2015","W","1648","2.04"
"","Scott Caldwell","NER","2015","DM","3103","2.04"
"","Brian Carroll","PHI","2013","CM","3224","2.04"
"","Josh Williams","CLB","2013","FB","2487","2.04"
"","Maxime Chanot","NYC","2017","CB","1845","2.04"
"","Perry Kitchen","DCU","2014","CM","3024","2.04"
"","Frédéric Brillant","NYC","2016","CB","3015","2.04"
"","Kevin Doyle","COL","2015","ST","1609","2.04"
"","Harrison Afful","CLB","2019","FB","2103","2.03"
"","Kekuta Manneh","VAN","2013","W","879","2.03"
"","Mike Magee","LAG","2016","W","1605","2.03"
"","Kyle Beckerman","RSL","2015","DM","2529","2.03"
"","Allan Cruz","CIN","2019","W","1887","2.03"
"","Carlos Gruezo","FCD","2018","DM","2769","2.03"
"","Matías Laba","VAN","2016","DM","2932","2.03"
"","Tony Tchani","VAN","2017","DM","2259","2.03"
"","Nélson Haedo Valdez","SEA","2016","ST","1012","2.03"
"","David Horst","HOU","2015","CB","2815","2.03"
"","Andrew Jean Baptiste","POR","2013","CB","2343","2.03"
"","Bradford Rusin","VAN","2013","CB","1507","2.03"
"","Lucas Venuto","VAN","2019","W","1273","2.03"
"","Tommy McNamara","NYC","2017","W","1688","2.03"
"","Jack Jewsbury","POR","2013","FB","2397","2.02"
"","Patrick Nyarko","CHI","2014","W","904","2.02"
"","Eduard Atuesta","LAFC","2018","DM","1670","2.02"
"","Liam Ridgewell","POR","2014","CB","1467","2.02"
"","Chris Wingert","RSL","2017","FB","1876","2.02"
"","Perry Kitchen","DCU","2015","CM","3064","2.01"
"","Justin Morrow","TOR","2019","FB","2568","2.01"
"","Emmanuel Boateng","LAG","2016","W","1672","2.01"
"","Joseph Mora","DCU","2019","FB","1753","2.01"
"","Fanendo Adi","POR","2018","ST","907","2.01"
"","Leonardo Bertone","CIN","2019","DM","2263","2.00"
"","Héctor Jiménez","LAG","2013","W","1276","1.99"
"","Antonio Mlinar Delamea","NER","2019","CB","1491","1.99"
"","Mark Bloom","TOR","2014","FB","2462","1.99"
"","Jo Inge Berget","NYC","2018","ST","1692","1.98"
"","Matt Hedges","FCD","2015","CB","2883","1.98"
"","Wil Trapp","CLB","2019","DM","2575","1.98"
"","Víctor Cabrera","MTL","2016","CB","2085","1.97"
"","Gabriel Torres","COL","2015","W","1725","1.97"
"","Harry Shipp","SEA","2019","W","1548","1.97"
"","Johnny Leverón","VAN","2013","CB","1751","1.97"
"","José Mari","COL","2014","CM","1859","1.97"
"","Markus Holgersson","NYRB","2013","CB","3105","1.97"
"","Jordon Mutch","VAN","2018","CM","933","1.97"
"","Vicente Sánchez","HOU","2017","W","629","1.96"
"","Giancarlo González","CLB","2014","CB","1653","1.96"
"","Tyler Adams","NYRB","2017","DM","2175","1.96"
"","Brandon Barklage","SJE","2014","FB","974","1.96"
"","Fabián Espíndola","DCU","2016","ST","1000","1.96"
"","Kevin Ellis","SKC","2015","CB","2515","1.96"
"","Jackson Yueill","SJE","2018","CM","1393","1.96"
"","Gerso","SKC","2017","W","2420","1.96"
"","Sergio Santos","PHI","2019","ST","715","1.96"
"","Gregory van der Wiel","TOR","2018","FB","2496","1.96"
"","Michael Harrington","POR","2013","FB","3192","1.96"
"","Guram Kashia","SJE","2018","CB","1172","1.95"
"","Christian Bolaños","VAN","2017","W","1734","1.95"
"","Brek Shea","VAN","2017","W","1452","1.95"
"","Jermaine Jones","NER","2015","DM","1407","1.95"
"","Jack Elliott","PHI","2018","CB","1545","1.95"
"","Brian Carroll","PHI","2015","DM","1948","1.95"
"","Brek Shea","VAN","2018","W","1720","1.95"
"","Marlon Hairston","COL","2016","W","1358","1.95"
"","Eriq Zavaleta","TOR","2018","CB","1607","1.95"
"","Dairon Asprilla","POR","2015","W","1134","1.94"
"","DaMarcus Beasley","HOU","2017","FB","2171","1.94"
"","Hassoun Camara","MTL","2016","FB","2433","1.94"
"","Tim Parker","VAN","2016","CB","2764","1.94"
"","Kendall Waston","CIN","2019","CB","2400","1.94"
"","José Gonçalves","NER","2015","CB","2669","1.93"
"","Luis Silva","DCU, TOR","2013","ST","2107","1.93"
"","Graham Smith","SKC","2019","CB","977","1.93"
"","Yura Movsisyan","RSL","2017","ST","1558","1.93"
"","Rodney Wallace","POR","2015","W","2122","1.92"
"","Gastón Fernández","POR","2014","W","1748","1.92"
"","Kelyn Rowe","NER","2018","W","1759","1.92"
"","Robin Jansson","ORL","2019","CB","2665","1.92"
"","Raymon Gaddis","PHI","2017","FB","2193","1.91"
"","Patrick Mullins","NYC","2015","ST","1135","1.91"
"","Bobby Boswell","DCU","2016","CB","2839","1.91"
"","Jermaine Taylor","HOU","2013","CB","2298","1.90"
"","Steven Gerrard","LAG","2016","DM","1600","1.90"
"","Jay Chapman","TOR","2018","W","1089","1.90"
"","Víctor Bernárdez","SJE","2017","CB","2377","1.90"
"","Russell Canouse","DCU","2018","DM","1684","1.90"
"","DaMarcus Beasley","HOU","2014","FB","886","1.90"
"","Sean Franklin","DCU","2016","FB","2682","1.89"
"","Zarek Valentin","POR","2018","FB","2996","1.89"
"","Leo Fernandes","PHI","2014","W","763","1.89"
"","Razvan Cocis","CHI","2015","CM","2153","1.89"
"","Alex Muyl","NYRB","2017","W","2124","1.88"
"","Vytautas Andriuskevicius","POR","2017","FB","1940","1.88"
"","Darren Mattocks","POR","2017","ST","1206","1.88"
"","Bernardo Añor","CLB","2013","W","1781","1.88"
"","Jeremy Ebobisse","POR","2018","ST","501","1.88"
"","Marlon Hairston","COL","2018","FB","1212","1.88"
"","Justin Meram","CLB","2013","W","869","1.87"
"","Adailton","CHI","2015","CB","1616","1.87"
"","Vincent Nogueira","PHI","2015","DM","2140","1.87"
"","Jonathan Osorio","TOR","2016","CM","2616","1.87"
"","Joao Meira","CHI","2016","CB","2456","1.87"
"","Gonzalo Verón","NYRB","2015","W","383","1.87"
"","Chris Pontius","LAG","2019","W","809","1.86"
"","Mohammed Saeid","CLB","2016","DM","2145","1.86"
"","Frédéric Brillant","DCU","2018","CB","2385","1.86"
"","Lee Nguyen","LAFC","2019","CM","1326","1.86"
"","Steven Birnbaum","DCU","2017","CB","2417","1.85"
"","Brad Davis","HOU","2015","W","2790","1.85"
"","Chris McCann","ATL","2018","FB","1988","1.85"
"","Kai Wagner","PHI","2019","FB","2954","1.85"
"","Dairon Asprilla","POR","2017","W","1528","1.84"
"","Chris Mueller","ORL","2019","W","1543","1.84"
"","Lloyd Sam","NYRB","2013","W","918","1.84"
"","Jordan Harvey","LAFC","2019","FB","2566","1.84"
"","Jonathan Lewis","COL, NYC","2019","W","1238","1.84"
"","Mauro Díaz","FCD","2018","AM","874","1.84"
"","Bressan","FCD","2019","FB","1264","1.83"
"","Darwin Cerén","HOU","2018","DM","2070","1.83"
"","Aaron Schoenfeld","CLB","2014","ST","819","1.83"
"","Kekuta Manneh","CIN","2019","W","1660","1.83"
"","Scott Caldwell","NER","2019","CM","1192","1.83"
"","Alex Muyl","NYRB","2016","W","1770","1.83"
"","Franco Escobar","ATL","2019","FB","2201","1.83"
"","Tesho Akindele","FCD","2016","ST","1667","1.82"
"","Andrew Farrell","NER","2016","FB","3136","1.82"
"","Walker Zimmerman","FCD","2016","CB","2927","1.82"
"","Jair Benitez","FCD","2014","FB","1869","1.82"
"","Graham Zusi","SKC","2017","FB","2291","1.82"
"","Nicolás Mezquida","VAN","2018","ST","1101","1.81"
"","Alex Muyl","NYRB","2018","W","1452","1.81"
"","Leonardo González","SEA","2014","FB","1989","1.81"
"","Andy Dorman","NER","2014","DM","1325","1.81"
"","Paulo Nagamura","SKC","2014","CM","1868","1.80"
"","Donny Toia","CHV","2014","FB","2424","1.80"
"","Alex","CHI","2013","CM","1759","1.80"
"","Nathan Sturgis","HOU","2015","CM","1393","1.80"
"","Johan Venegas","MTL","2015","W","804","1.80"
"","Gustav Svensson","SEA","2018","DM","2265","1.80"
"","Brad Evans","SEA","2014","W","2052","1.80"
"","Kemar Lawrence","NYRB","2017","FB","2254","1.79"
"","Matt Polster","CHI","2016","DM","2260","1.79"
"","Wandrille Lefevre","MTL","2014","CB","1322","1.79"
"","Bacary Sagna","MTL","2018","FB","877","1.79"
"","Xavier Arreaga","SEA","2019","CB","1239","1.79"
"","Omir Fernandez","NYRB","2019","W","682","1.79"
"","Gustav Svensson","SEA","2017","CB","2832","1.79"
"","Yangel Herrera","NYC","2017","CM","1335","1.79"
"","Lee Nguyen","LAFC","2018","CM","2013","1.78"
"","Giovani dos Santos","LAG","2015","ST","847","1.78"
"","Abdoulie Mansally","RSL","2013","FB","853","1.78"
"","Andy Rose","SEA","2015","W","1744","1.77"
"","Chris Durkin","DCU","2018","DM","1664","1.77"
"","Soony Saad","SKC","2014","W","1022","1.77"
"","Júnior Moreno","DCU","2018","DM","1685","1.77"
"","Victor Ulloa","FCD","2014","CM","2583","1.77"
"","Tony Tchani","CLB","2013","CM","1446","1.77"
"","Grant Ward","CHI","2014","W","1151","1.76"
"","Juan Manuel Martínez","RSL","2015","W","696","1.76"
"","Nicolás Mezquida","VAN","2015","W","1003","1.76"
"","Will Johnson","POR","2014","DM","2734","1.76"
"","Kaká","ORL","2017","W","1707","1.75"
"","Zach Loyd","FCD","2013","FB","2315","1.75"
"","Dilly Duka","MTL","2015","W","1914","1.75"
"","Matteo Mancosu","MTL","2018","ST","1199","1.75"
"","Lassi Lappalainen","MTL","2019","W","750","1.75"
"","Nouhou Tolo","SEA","2017","FB","1151","1.74"
"","Favio Álvarez","LAG","2019","AM","1344","1.74"
"","Jack McInerney","PHI","2013","ST","2356","1.74"
"","Eriq Zavaleta","TOR","2017","CB","2535","1.74"
"","Giles Barnes","ORL","2017","AM","2333","1.74"
"","Lalas Abubakar","CLB","2017","CB","575","1.74"
"","Dave Romney","LAG","2018","CB","2558","1.74"
"","Jermaine Taylor","HOU","2014","CB","2177","1.73"
"","Luis Silva","RSL","2018","ST","920","1.73"
"","Jorge Villafaña","POR","2019","FB","2141","1.73"
"","Gonzalo Segares","CHI","2013","FB","3075","1.73"
"","Darel Russell","TOR","2013","CM","1028","1.73"
"","Everton Luiz","RSL","2019","DM","2311","1.73"
"","Andy Rose","VAN","2019","CB","2050","1.72"
"","Alan Gordon","COL","2017","ST","954","1.72"
"","Liam Ridgewell","POR","2018","CB","1182","1.72"
"","Scott Caldwell","NER","2018","DM","1633","1.72"
"","Daniel Lovitz","MTL","2019","FB","2764","1.72"
"","Chris Klute","COL","2014","FB","2301","1.72"
"","Nigel Reo-Coker","MTL","2015","DM","2042","1.72"
"","Will Johnson","ORL","2019","CM","1854","1.72"
"","Victor Ulloa","CIN","2019","DM","2140","1.72"
"","Frédéric Brillant","NYC","2017","CB","1663","1.72"
"","Jermaine Taylor","POR","2016","CB","2009","1.71"
"","Marco Delgado","TOR","2017","CM","2205","1.71"
"","Kellyn Acosta","FCD","2016","DM","2525","1.71"
"","Aaron Long","NYRB","2019","CB","2343","1.71"
"","Andy Polo","POR","2019","W","1192","1.71"
"","Emmanuel Boateng","LAG","2018","W","1334","1.71"
"","Matteo Ferrari","MTL","2014","CB","2320","1.70"
"","Erik Friberg","SEA","2015","CM","1016","1.70"
"","Kyle Duncan","NYRB","2019","FB","1194","1.70"
"","Luis Silva","DCU","2014","ST","1614","1.70"
"","Adam Jahn","CLB, SJE","2016","ST","688","1.69"
"","London Woodberry","NER","2015","FB","1619","1.69"
"","Lewis Neal","ORL","2015","W","1612","1.69"
"","Sam Nicholson","MIN, COL","2018","W","2239","1.69"
"","Ricardo Clark","HOU","2017","CM","2437","1.69"
"","Giles Barnes","VAN, HOU","2016","W","1940","1.68"
"","Ignacio Piatti","MTL","2014","AM","478","1.68"
"","Marc Burch","SEA","2013","W","1273","1.68"
"","Reggie Cannon","FCD","2019","FB","2527","1.68"
"","Romario Williams","ATL","2018","ST","316","1.68"
"","Mathieu Deplagne","CIN","2019","FB","3158","1.68"
"","Ike Opara","SKC","2016","CB","1701","1.68"
"","Jake Nerwinski","VAN","2017","FB","1829","1.68"
"","Waylon Francis","CLB","2015","FB","2577","1.68"
"","Lalas Abubakar","CLB","2018","CB","1933","1.68"
"","Steven Birnbaum","DCU","2014","CB","2044","1.67"
"","Jairo Arrieta","DCU","2015","ST","1384","1.67"
"","Michael Harrington","POR","2014","FB","1892","1.67"
"","Shane O'Neill","COL","2014","CB","2036","1.67"
"","Luis Felipe","SJE","2018","CM","1062","1.67"
"","Zarek Valentin","POR","2016","FB","1741","1.67"
"","Richie Marquez","PHI","2015","CB","1986","1.66"
"","Javier Morales","FCD","2017","DM","826","1.66"
"","Pedro Ribeiro","ORL","2015","ST","804","1.66"
"","Dave Romney","LAG","2019","FB","1008","1.66"
"","Adolfo Machado","HOU","2018","FB","1889","1.65"
"","Shkëlzen Gashi","COL","2016","W","2233","1.65"
"","Gyasi Zardes","LAG","2017","ST","2150","1.65"
"","Kennedy Igboananike","CHI, DCU","2016","ST","1895","1.65"
"","Marc Burch","COL","2014","FB","2038","1.65"
"","Corey Ashe","CLB","2016","FB","1304","1.64"
"","Marco Pappa","SEA","2015","W","1549","1.64"
"","Will Johnson","TOR","2016","CM","1795","1.64"
"","Richie Marquez","PHI","2016","CB","3211","1.64"
"","Andrew Jacobson","VAN","2016","DM","1914","1.64"
"","Andrés Imperiale","SJE","2017","CB","1198","1.64"
"","Benji Michel","ORL","2019","W","1074","1.64"
"","Carlos Rivas","ORL","2015","W","1524","1.64"
"","Fabinho","PHI","2014","FB","1759","1.63"
"","Tommy McNamara","HOU","2019","W","1739","1.63"
"","Agustín Pelletieri","CHV","2014","CM","1806","1.63"
"","Oriol Rosell","ORL","2019","DM","1638","1.63"
"","Raheem Edwards","TOR","2017","FB","1161","1.63"
"","Nick Lima","SJE","2019","FB","2009","1.63"
"","Fanendo Adi","CIN","2019","ST","781","1.63"
"","Corey Ashe","HOU","2013","FB","2796","1.63"
"","Emmanuel Boateng","LAG, DCU","2019","W","1070","1.63"
"","Hendry Thomas","COL","2013","DM","2485","1.62"
"","Carlos Alvarez","COL, CHV","2014","W","1380","1.62"
"","Anthony Blondell","VAN","2018","ST","742","1.62"
"","Graham Zusi","SKC","2015","W","2125","1.62"
"","Brandon Servania","FCD","2019","DM","1252","1.62"
"","Calum Mallace","MTL","2014","DM","1251","1.62"
"","Dejan Jakovic","LAFC","2018","CB","1251","1.62"
"","Chris Mavinga","TOR","2018","CB","1004","1.62"
"","Luis Díaz","CLB","2019","W","887","1.62"
"","Eriq Zavaleta","TOR","2015","CB","1174","1.62"
"","Jake Nerwinski","VAN","2018","FB","2454","1.61"
"","Hassani Dotson","MIN","2019","FB","1581","1.61"
"","Tommy McNamara","NYC","2016","W","2349","1.61"
"","Emmanuel Ledesma","CIN","2019","W","1947","1.61"
"","Erick Torres","CHV","2013","ST","1453","1.60"
"","Gershon Koffie","VAN","2013","CM","2071","1.60"
"","Nicolas Benezet","TOR","2019","W","475","1.60"
"","Harry Shipp","SEA","2018","W","1311","1.60"
"","RJ Allen","NYC","2015","FB","1140","1.60"
"","Jack McBean","LAG","2013","ST","621","1.59"
"","Román Torres","SEA","2018","CB","772","1.59"
"","Cristhian Paredes","POR","2018","CM","1526","1.59"
"","Kelvin Leerdam","SEA","2017","FB","1391","1.59"
"","Fernando Aristeguieta","PHI","2015","ST","1360","1.58"
"","Brek Shea","ORL","2016","FB","2192","1.58"
"","Anthony Jackson-Hamel","MTL","2019","ST","689","1.58"
"","Kevin Molino","ORL","2015","W","650","1.58"
"","Héctor Jiménez","CLB","2019","FB","1764","1.58"
"","Pa Modou Kah","POR","2013","CB","1861","1.58"
"","Gabriel Farfán","CHV, PHI","2013","CM","1246","1.58"
"","Doneil Henry","TOR","2014","CB","1953","1.58"
"","Jack Jewsbury","POR","2014","FB","1544","1.58"
"","Chase Gasper","MIN","2019","FB","1427","1.58"
"","Walker Zimmerman","LAFC","2018","CB","2551","1.57"
"","Luke Boden","ORL","2016","FB","1740","1.57"
"","Doneil Henry","VAN","2019","CB","2325","1.57"
"","Chris Tierney","NER","2016","FB","2497","1.57"
"","Michael Stephens","CHI","2015","CM","1417","1.57"
"","Perry Kitchen","LAG","2018","DM","2540","1.56"
"","Giovani dos Santos","LAG","2017","ST","2365","1.56"
"","Pa Modou Kah","POR","2014","CB","1896","1.56"
"","Emerson Hyndman","ATL","2019","CM","1088","1.56"
"","Krisztián Németh","SKC, NER","2018","ST","976","1.56"
"","Mauro Rosales","VAN","2015","AM","1614","1.56"
"","Gustavo Bou","NER","2019","ST","1269","1.56"
"","Víctor Cabrera","MTL","2018","CB","1017","1.56"
"","Carlos Alvarez","CHV","2013","DM","2332","1.56"
"","Atiba Harris","FCD","2015","FB","2005","1.56"
"","Rodrigo Ramos","CHI","2016","FB","1611","1.56"
"","Harrison Afful","CLB","2015","FB","812","1.56"
"","Ronald Matarrita","NYC","2017","FB","753","1.55"
"","Bojan Krkić","MTL","2019","AM","653","1.55"
"","Hassoun Camara","MTL","2015","CB","524","1.55"
"","Nat Borchers","POR","2015","CB","3001","1.55"
"","Gary Mackay-Steven","NYC","2019","W","600","1.55"
"","Nick Hagglund","TOR","2015","CB","864","1.55"
"","Kevin Ellis","SKC","2016","CB","1037","1.55"
"","Darren O'Dea","TOR","2013","CB","1669","1.55"
"","Ebenezer Ofori","NYC","2018","CM","2053","1.55"
"","Yangel Herrera","NYC","2018","CM","1214","1.55"
"","Michael Stephens","CHI","2016","CM","1034","1.55"
"","Rafael Ramos","ORL","2015","FB","2157","1.55"
"","Víctor Cabrera","MTL","2015","CB","1869","1.54"
"","Je-Vaughn Watson","FCD","2013","DM","1504","1.54"
"","Hassoun Camara","MTL","2014","FB","2556","1.54"
"","Cristian Fernández","DCU","2014","FB","1456","1.54"
"","Carlos Bocanegra","CHV","2014","CB","1760","1.54"
"","Christian Bolaños","VAN","2016","W","2294","1.54"
"","Michael Boxall","MIN","2018","CB","3182","1.54"
"","Tony Beltran","RSL","2015","FB","2998","1.53"
"","Sam Cronin","COL","2016","DM","3136","1.53"
"","Aurélien Collin","ORL, NYRB","2016","CB","2262","1.53"
"","Nicolás Mezquida","VAN","2016","AM","1521","1.53"
"","Luis Silva","RSL, DCU","2015","W","972","1.52"
"","Jared Watts","COL","2016","CB","1784","1.52"
"","Chris Rolfe","DCU","2016","ST","668","1.52"
"","Teal Bunbury","NER","2015","W","1939","1.52"
"","Steven Caldwell","TOR","2014","CB","1920","1.52"
"","Futty Danso","POR","2013","CB","1466","1.52"
"","C.J. Sapong","SKC","2013","W","1709","1.52"
"","Andy Dorman","NER","2015","DM","1221","1.52"
"","Kevin Alston","ORL","2016","FB","2174","1.51"
"","Laurent Ciman","LAFC","2018","CB","2181","1.51"
"","Jeff Larentowicz","ATL","2018","DM","3024","1.51"
"","Kevin Ellis","SKC","2014","CB","1692","1.51"
"","Raymon Gaddis","PHI","2019","FB","3247","1.51"
"","Ben Sweat","NYC","2017","FB","2348","1.51"
"","Egidio Arévalo Ríos","CHI","2013","CM","839","1.51"
"","A.J. DeLaGarza","LAG","2013","CB","2567","1.51"
"","Jorge Villafaña","CHV","2013","FB","1537","1.51"
"","Jalil Anibaba","NER","2019","CB","1949","1.51"
"","Antoine Hoppenot","PHI","2013","ST","923","1.51"
"","Ashley Cole","LAG","2018","FB","2913","1.50"
"","Nedum Onuoha","RSL","2019","CB","2555","1.50"
"","Harold Cummings","SJE","2019","CB","1523","1.50"
"","Nathan Sturgis","COL, CHV","2014","CM","1317","1.50"
"","Luis Garrido","HOU","2014","CM","978","1.50"
"","Álvaro Rey","TOR","2013","W","828","1.50"
"","Jukka Raitala","MTL","2019","CB","2296","1.49"
"","Doneil Henry","VAN","2018","CB","1391","1.49"
