"","Player","Team","Season","Position","Minutes","Goals Added"
"","Will Bruin","HOU","2014","ST","2229","5.66"
"","Romain Alessandrini","LAG","2017","W","2631","5.66"
"","Gyasi Zardes","CLB","2019","ST","2710","5.64"
"","Maximiliano Urruti","FCD","2018","ST","2998","5.64"
"","Diego Valeri","POR","2017","AM","3066","5.63"
"","Maximiliano Moralez","NYC","2019","W","2709","5.60"
"","Tim Cahill","NYRB","2013","CM","2403","5.58"
"","Michael Barrios","FCD","2017","W","2773","5.57"
"","Clint Dempsey","SEA","2014","ST","2303","5.57"
"","Juan Manuel Martínez","RSL","2016","W","2701","5.55"
"","Chris Wondolowski","SJE","2015","ST","2903","5.53"
"","Javier Morales","RSL","2014","AM","2857","5.51"
"","Nani","ORL","2019","W","2505","5.47"
"","Mauro Díaz","FCD","2015","AM","2092","5.47"
"","Sacha Kljestan","NYRB","2016","AM","2833","5.47"
"","Mauro Manotas","HOU","2019","ST","2765","5.44"
"","Florian Jungwirth","SJE","2017","CB","2782","5.43"
"","Michael Parkhurst","CLB","2014","CB","3028","5.43"
"","Ignacio Piatti","MTL","2015","AM","2346","5.42"
"","Felipe","NYRB","2015","DM","3128","5.42"
"","Lee Nguyen","NER","2014","CM","2953","5.41"
"","Frédéric Brillant","DCU","2019","CB","3266","5.40"
"","Osvaldo Alonso","SEA","2016","DM","3022","5.38"
"","Cyle Larin","ORL","2015","ST","2016","5.38"
"","Sam Nicholson","COL","2019","W","1983","5.37"
"","Pedro Santos","CLB","2019","W","3041","5.35"
"","Cristian Penilla","NER","2018","W","3055","5.34"
"","Kei Kamara","VAN","2018","ST","2385","5.34"
"","Gyasi Zardes","LAG","2014","ST","2580","5.33"
"","Ibson","MIN","2017","DM","2873","5.32"
"","Yoshimar Yotún","ORL","2018","DM","2156","5.32"
"","Nigel Reo-Coker","VAN","2013","CM","3038","5.32"
"","Alejandro Bedoya","PHI","2019","CM","3119","5.30"
"","Diego Chara","POR","2013","DM","2965","5.29"
"","Maurice Edu","PHI","2014","DM","3002","5.29"
"","Chris Wondolowski","SJE","2017","ST","3255","5.29"
"","Bastian Schweinsteiger","CHI","2018","CB","2943","5.29"
"","Shea Salinas","SJE","2013","W","2107","5.28"
